    PID STAT     ELAPSED WCHAN                            COMMAND
 134359 D          33:54 dma_fence_default_wait           [x1p_transport_p]
 136051 I          17:26 worker_thread                    [kworker/0:2-events]
 137083 I          06:54 worker_thread                    [kworker/0:0-events]
 137156 I          06:08 worker_thread                    [kworker/1:1-events]
 138069 I          01:26 worker_thread                    [kworker/0:3-events]
 138326 Ss         00:06 poll_schedule_timeout.constprop. sshd-session: hermes [priv]
 138333 S          00:06 poll_schedule_timeout.constprop. sshd-session: hermes@notty
 138334 Ss         00:06 do_wait                          bash -c sudo -n mkdir -p /srv/inferswarm/is216/fault-capture && sudo -n sh -c 'dmesg -T > /srv/inferswarm/is216/fault-capture/dmesg-at-fault.txt 2>&1; journalctl -b --no-pager > /srv/inferswarm/is216/fault-capture/journal-full-at-fault.txt 2>&1; ps -eo pid,stat,etime,wchan:32,args > /srv/inferswarm/is216/fault-capture/process-states-at-fault.txt; cat /proc/134359/stack > /srv/inferswarm/is216/fault-capture/x1p-probe-kernel-stack.txt 2>&1; chmod -R a+r /srv/inferswarm/is216/fault-capture' && ls -la /srv/inferswarm/is216/fault-capture/ && grep -c 'Failed to send' /srv/inferswarm/is216/fault-capture/dmesg-at-fault.txt
 138338 S          00:06 poll_schedule_timeout.constprop. sudo -n sh -c dmesg -T > /srv/inferswarm/is216/fault-capture/dmesg-at-fault.txt 2>&1; journalctl -b --no-pager > /srv/inferswarm/is216/fault-capture/journal-full-at-fault.txt 2>&1; ps -eo pid,stat,etime,wchan:32,args > /srv/inferswarm/is216/fault-capture/process-states-at-fault.txt; cat /proc/134359/stack > /srv/inferswarm/is216/fault-capture/x1p-probe-kernel-stack.txt 2>&1; chmod -R a+r /srv/inferswarm/is216/fault-capture
 138340 S          00:06 do_wait                          sh -c dmesg -T > /srv/inferswarm/is216/fault-capture/dmesg-at-fault.txt 2>&1; journalctl -b --no-pager > /srv/inferswarm/is216/fault-capture/journal-full-at-fault.txt 2>&1; ps -eo pid,stat,etime,wchan:32,args > /srv/inferswarm/is216/fault-capture/process-states-at-fault.txt; cat /proc/134359/stack > /srv/inferswarm/is216/fault-capture/x1p-probe-kernel-stack.txt 2>&1; chmod -R a+r /srv/inferswarm/is216/fault-capture
 138353 R          00:00 -                                ps -eo pid,stat,etime,wchan:32,args
